Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
They didn't even deliver the fans I was going to pay for! I tracked it from Ogba to Lekki on 6th April and I checked today 11th and it it was going back to Ogba!;Get more serious, pick your calls and talk to customers. Make sure  the phone numbers in your emails are working.  ;Large Appliances;KWK;Desktop Web
Was when I got an sms that the item had arrived omole and didn't want to go pick it up since I told them to deliver it at my place.I kept calling the given number for hours on end without response.he or she wouldn't pickup the call or return the call.I felt frustrated cos I was eager to see my freezer.that area should be checked.asides that you guys are the real deal.keep it up!;Your delivery fee is much more cheaper than the rest I tell u.I'm proud of u guys.to even think about the free bees u attach to certain items is amazing.at least I av 2 lovely items that came along with my purchase.thanks;Televisions;KWK;Mobile Web
;;?Baby Essentials;SHQ;Mobile Web
Logining in;;Hair Centre;SHQ;Desktop Web
Point of payment when some delivery staff are not equipped with PoS terminal, the extortion of customers is appalling ;Improve on the delivery time, the present time is not encouraging;Generators & Power Supplies;SHQ;Mobile Web
Paying with my credit card. ;I have ordered items twice but yet nothing. ;Phone and Tablet Accessories;SHQ;Mobile Web
Delivery of goods is very difficult . What I hate most is the message that they tried to deliver but met your absence while one has been around all day.;Please I am still waiting for my wardrobe F809011163001 to be deliver to First Bank Ltd, Station Road port harcourt. Thank you;Home Furnishings;SHQ;Mobile Web
After Purchase, I needed to make some adjustments but couldn't e.g I ordered a white phone, needed to contact the seller so I could get a different colour but couldn't. ;Cancellation of orders within a specific time should be enabled ;Mobile Phones;SHQ;Konga App
at the final delivery process through your delivery partner (krs or something I can't really recall now) ;I follow up the movement of the goods easy from the beginning but when it get to the krs or something,i discovered they are deceiving and not trustworthy with  their approach. ;Mobile Phones;KWK;Desktop Web
Delivery;;Mobile Phones;KWK;Desktop Web
having to pay separate shipping fees to individual sellers for orders. I am more inclined to buy all my items from 1 seller which is difficult. ;I'd like to see more UK quality brands on Konga. ;Small Appliances;KWK;Desktop Web
Very high shipping charges even the item price is more than N 10,000;Reduce the shipping charges;Large Appliances;KWK & SHQ;Konga App
Putting multiple order together;I ordered 3 different items but delivery is not together why?;Watches;SHQ;Mobile Web
I order for some products in one cart and choose pay on delivery its sent differently to me and expects to pay shipping fee for each. That's bad;;0;KWK & SHQ;Mobile Web
registering on kongapay and using my free coupon;none;Small Appliances;SHQ;Mobile Web
none;;Mobile Phones;KWK;Desktop Web
At the customer services point, each time I call, they make so many mistakesand spend more time on irrelevances than on the order itself. The service should e a toll-free;Please create a toll free, its the next thing to add. My address is akinloluajayi@yahoo.com I am highly impressed about your delivery,  its super fast. ;Phone and Tablet Accessories;SHQ;Desktop Web
Customers review;Konga needs to balance their interaction with merchants and customers. Konga is too customer focused.;Housekeeping & Pet Supplies;SHQ;Konga App
Delivery time;the delivery money is the problem I have. Thanks;Phone and Tablet Accessories;SHQ;Desktop Web
The product delivery was not the exact quality described ;Konga should ensure the quality of product advertised match the product, as what was delivered to me ran short of my expectations ;Men's Shoes;SHQ;Mobile Web
None ;I discovered Konga through website and is easier for me to buy and collect my good on time in good condition. However, aliexpress goods are cheaper than Konga own and some goods will be delivered free. Think what I can do sometimes I will be offered free delivery. Thanks. Igwe Cornelius   ;Musical Equipment;SHQ;Desktop Web
;;Games and Consoles;KWK;Konga App
When I collected my order and the colour of the order and the colour on the label were totally different. It's frustrating when you wait for a package and at the end if the day you get disdisappointed.;Try to deliver the exact product as it is on the website. When I tried to tick the like button it worked but didn't display on the liked list, tried it on both the app and the website before it finally worked. It was a frustrating experience ;0;KWK;Konga App
At the point of delivery. my order was already within my city of residence and it still did not get to me for over three days even though my address isn't difficult to locate.;"Delivery guys should be instructed to deliver orders to the addresses filled out online immediately they arrive those destinations.  These guys are not meant to expect customers to place a call to arrange for product pick-up at their stations before thinking of bringing it over. Customers are not daft, if they wanted to pick it up at these stations, they would have indicated it as their address when placing the order online.    Another area of improvement is the area of shipping. When a customer places an order, irrespective of whether the order is meant to be serviced by a single seller or different sellers, related products should be packaged and shipped together to save shipping cost. For instance, shipping a shirt and a trouser; different wristwatches or shipping a phone and its accessories like; earphones, case, etc. separately is unacceptable and seems dumb. These items should be shipped together and a shipping fee charged on that basis.    ";Mobile Phones;SHQ;Desktop Web
At the stage of ordering, infact I have to call the customer line for them to place my order.;Konga is still my best online market and shopping is made easier with konga.;Mobile Phones;SHQ;Desktop Web
when help line, was not transfer properlly;i just bought for the first time, fairly impressive, sincerely hope konga keep everything together. thanks;Mobile Phones;SHQ;Desktop Web
Having placed orders and the order was later cancelled by konga without any tangible reason. That has happened to me twice within a week. At times your description of items can be misleading.;Always be sure of the availability of items before displaying them on your website.;Large Appliances;SHQ;Konga App
Delivery to my mailing address;Slight reduction in the delivery fee;Easter Came Early Fashion;KWK;Mobile Web
Every point ;;Food;SHQ;Desktop Web
when I spoke with agent whose number was sent to me. I called and he told me to give him few minutes. I called after an hour and half, and he said he could not attend to me because of other thing he was doing, and that there are many orders he needs to work on.;The customer support should be more polite, even when you cannot be attended to immediately. They should not send message of call immediately if not ready to attend to customer;Mobile Phones;KWK;Desktop Web
the time frame it took to de deliver the product;;Computing Accessories;SHQ;Mobile Web
Delivery,  I had to go to Konga office to pick a product I paid to be delivered to my doorstep because the despatch couldn't deliver,  so so dissatisfied ;Improve on your delivery program;Televisions;KWK;Konga App
None;For smaller products, the delivery price should less and vice vasa;Men's Shoes;SHQ;Desktop Web
Site captured my original delivery address as shipping address instead of the address entered at checkout.  Nothing was done to fix this despite complaints made;;Women's Wear;SHQ;Desktop Web
